Date_Reference,Hour_of_Day,Market_Charges_per_kWh,Ontario_Hourly_Demand_MWh,Non_RPP_Consumption_MWh,Consumption_TOU_kWh,Rate_per_kWh,Season,Day_Type
2022-11-06,22,0.11269,13509,298,1.038,0.074,Winter,1
2022-11-06,23,0.11269,12749,300,0.909,0.074,Winter,1
2022-11-06,24,0.11269,12111,295,0.767,0.074,Winter,1
2022-11-07,1,0.11269,11683,294,0.653,0.074,Winter,0
2022-11-07,2,0.11269,11398,292,0.577,0.074,Winter,0
2022-11-07,3,0.11269,11399,294,0.534,0.074,Winter,0
2022-11-07,4,0.11269,11371,298,0.517,0.074,Winter,0
2022-11-07,5,0.11269,11619,299,0.524,0.074,Winter,0
2022-11-07,6,0.11269,12204,300,0.559,0.074,Winter,0
2022-11-07,7,0.11269,13446,299,0.624,0.151,Winter,0
2022-11-07,8,0.11269,14523,296,0.699,0.151,Winter,0
2022-11-07,9,0.11269,14518,289,0.731,0.151,Winter,0
2022-11-07,10,0.11269,14263,288,0.741,0.151,Winter,0
2022-11-07,11,0.11269,13991,287,0.758,0.102,Winter,0
2022-11-07,12,0.11269,14487,286,0.795,0.102,Winter,0
2022-11-07,13,0.11269,14671,284,0.817,0.102,Winter,0
2022-11-07,14,0.11269,14620,285,0.788,0.102,Winter,0
2022-11-07,15,0.11269,14797,291,0.779,0.102,Winter,0
2022-11-07,16,0.11269,15285,289,0.804,0.102,Winter,0
2022-11-07,17,0.11269,16214,287,0.933,0.151,Winter,0
2022-11-07,18,0.11269,17204,290,1.127,0.151,Winter,0
2022-11-07,19,0.11269,16936,293,1.142,0.074,Winter,0
2022-11-07,20,0.11269,16440,295,1.14,0.074,Winter,0
2022-11-07,21,0.11269,15733,299,1.128,0.074,Winter,0
2022-11-07,22,0.11269,15066,302,1.068,0.074,Winter,0
2022-11-07,23,0.11269,14351,294,0.96,0.074,Winter,0
2022-11-07,24,0.11269,13548,301,0.816,0.074,Winter,0
2022-11-08,1,0.11269,12933,301,0.705,0.074,Winter,0
2022-11-08,2,0.11269,12975,302,0.634,0.074,Winter,0
2022-11-08,3,0.11269,12756,304,0.592,0.074,Winter,0
2022-11-08,4,0.11269,12572,304,0.574,0.074,Winter,0
2022-11-08,5,0.11269,12651,301,0.581,0.074,Winter,0
2022-11-08,6,0.11269,13251,298,0.629,0.074,Winter,0
2022-11-08,7,0.11269,14560,297,0.713,0.151,Winter,0
2022-11-08,8,0.11269,16040,292,0.809,0.151,Winter,0
2022-11-08,9,0.11269,15787,290,0.753,0.151,Winter,0
2022-11-08,10,0.11269,15282,295,0.726,0.151,Winter,0
2022-11-08,11,0.11269,14678,298,0.726,0.102,Winter,0
2022-11-08,12,0.11269,14839,298,0.746,0.102,Winter,0
2022-11-08,13,0.11269,14881,295,0.754,0.102,Winter,0
2022-11-08,14,0.11269,14813,299,0.731,0.102,Winter,0
2022-11-08,15,0.11269,14916,298,0.721,0.102,Winter,0
2022-11-08,16,0.11269,15504,300,0.761,0.102,Winter,0
2022-11-08,17,0.11269,16756,302,0.891,0.151,Winter,0
2022-11-08,18,0.11269,17567,306,1.091,0.151,Winter,0
2022-11-08,19,0.11269,17284,309,1.138,0.074,Winter,0
2022-11-08,20,0.11269,16801,307,1.149,0.074,Winter,0
2022-11-08,21,0.11269,16499,308,1.149,0.074,Winter,0
2022-11-08,22,0.11269,15706,312,1.099,0.074,Winter,0
2022-11-08,23,0.11269,14882,307,0.985,0.074,Winter,0
2022-11-08,24,0.11269,14015,309,0.849,0.074,Winter,0
2022-11-09,1,0.11269,13360,308,0.737,0.074,Winter,0
2022-11-09,2,0.11269,13149,309,0.664,0.074,Winter,0
2022-11-09,3,0.11269,12897,307,0.626,0.074,Winter,0
2022-11-09,4,0.11269,13038,304,0.609,0.074,Winter,0
2022-11-09,5,0.11269,13110,303,0.617,0.074,Winter,0
2022-11-09,6,0.11269,13571,299,0.661,0.074,Winter,0
2022-11-09,7,0.11269,14810,287,0.74,0.151,Winter,0
2022-11-09,8,0.11269,15828,272,0.825,0.151,Winter,0
2022-11-09,9,0.11269,15563,276,0.766,0.151,Winter,0
2022-11-09,10,0.11269,15159,280,0.734,0.151,Winter,0
2022-11-09,11,0.11269,14889,279,0.737,0.102,Winter,0
2022-11-09,12,0.11269,14565,283,0.748,0.102,Winter,0
2022-11-09,13,0.11269,14617,283,0.744,0.102,Winter,0
2022-11-09,14,0.11269,14517,280,0.723,0.102,Winter,0
2022-11-09,15,0.11269,14727,273,0.715,0.102,Winter,0
2022-11-09,16,0.11269,15324,275,0.758,0.102,Winter,0
2022-11-09,17,0.11269,16517,281,0.872,0.151,Winter,0
2022-11-09,18,0.11269,17416,279,1.06,0.151,Winter,0
2022-11-09,19,0.11269,16844,280,1.111,0.074,Winter,0
2022-11-09,20,0.11269,16332,279,1.119,0.074,Winter,0
2022-11-09,21,0.11269,15846,282,1.121,0.074,Winter,0
2022-11-09,22,0.11269,15106,284,1.062,0.074,Winter,0
2022-11-09,23,0.11269,14212,285,0.956,0.074,Winter,0
2022-11-09,24,0.11269,13211,285,0.821,0.074,Winter,0
2022-11-10,1,0.11269,12711,286,0.706,0.074,Winter,0
2022-11-10,2,0.11269,12273,286,0.633,0.074,Winter,0
2022-11-10,3,0.11269,12058,286,0.588,0.074,Winter,0
2022-11-10,4,0.11269,12032,284,0.571,0.074,Winter,0
2022-11-10,5,0.11269,12168,282,0.568,0.074,Winter,0
2022-11-10,6,0.11269,12802,279,0.605,0.074,Winter,0
2022-11-10,7,0.11269,14111,288,0.687,0.151,Winter,0
2022-11-10,8,0.11269,15162,289,0.78,0.151,Winter,0
2022-11-10,9,0.11269,15501,294,0.747,0.151,Winter,0
2022-11-10,10,0.11269,15317,294,0.716,0.151,Winter,0
2022-11-10,11,0.11269,14884,293,0.7,0.102,Winter,0
2022-11-10,12,0.11269,14385,286,0.714,0.102,Winter,0
2022-11-10,13,0.11269,14640,286,0.716,0.102,Winter,0
2022-11-10,14,0.11269,14748,285,0.697,0.102,Winter,0
2022-11-10,15,0.11269,14884,283,0.689,0.102,Winter,0
2022-11-10,16,0.11269,15296,278,0.723,0.102,Winter,0
2022-11-10,17,0.11269,16105,279,0.828,0.151,Winter,0
2022-11-10,18,0.11269,16562,283,1.002,0.151,Winter,0
2022-11-10,19,0.11269,16070,285,1.053,0.074,Winter,0
2022-11-10,20,0.11269,15873,294,1.062,0.074,Winter,0
2022-11-10,21,0.11269,15709,296,1.064,0.074,Winter,0
2022-11-10,22,0.11269,14950,296,1.021,0.074,Winter,0
2022-11-10,23,0.11269,14222,292,0.915,0.074,Winter,0
2022-11-10,24,0.11269,13265,292,0.777,0.074,Winter,0
2022-11-11,1,0.11269,12591,297,0.668,0.074,Winter,0
2022-11-11,2,0.11269,12335,298,0.594,0.074,Winter,0
2022-11-11,3,0.11269,12190,297,0.551,0.074,Winter,0
2022-11-11,4,0.11269,12095,296,0.533,0.074,Winter,0
2022-11-11,5,0.11269,12274,296,0.537,0.074,Winter,0
2022-11-11,6,0.11269,12951,288,0.567,0.074,Winter,0
2022-11-11,7,0.11269,13967,284,0.641,0.151,Winter,0
2022-11-11,8,0.11269,14974,294,0.746,0.151,Winter,0
2022-11-11,9,0.11269,15310,289,0.743,0.151,Winter,0
2022-11-11,10,0.11269,15572,292,0.74,0.151,Winter,0
2022-11-11,11,0.11269,15961,295,0.749,0.102,Winter,0
2022-11-11,12,0.11269,16152,295,0.779,0.102,Winter,0
2022-11-11,13,0.11269,16334,301,0.801,0.102,Winter,0
2022-11-11,14,0.11269,16560,310,0.807,0.102,Winter,0
2022-11-11,15,0.11269,16391,311,0.817,0.102,Winter,0
2022-11-11,16,0.11269,16586,309,0.869,0.102,Winter,0
2022-11-11,17,0.11269,16887,305,0.966,0.151,Winter,0
2022-11-11,18,0.11269,17237,298,1.073,0.151,Winter,0
2022-11-11,19,0.11269,16734,292,1.074,0.074,Winter,0
2022-11-11,20,0.11269,15861,290,1.071,0.074,Winter,0
2022-11-11,21,0.11269,15482,299,1.065,0.074,Winter,0
2022-11-11,22,0.11269,14914,305,1.026,0.074,Winter,0
2022-11-11,23,0.11269,14063,305,0.937,0.074,Winter,0
2022-11-11,24,0.11269,13154,305,0.835,0.074,Winter,0
2022-11-12,1,0.11269,12509,305,0.731,0.074,Winter,1
2022-11-12,2,0.11269,11983,300,0.641,0.074,Winter,1
2022-11-12,3,0.11269,11699,298,0.59,0.074,Winter,1
2022-11-12,4,0.11269,11724,295,0.564,0.074,Winter,1
2022-11-12,5,0.11269,11754,297,0.556,0.074,Winter,1
2022-11-12,6,0.11269,12069,294,0.569,0.074,Winter,1
2022-11-12,7,0.11269,12926,291,0.602,0.074,Winter,1
2022-11-12,8,0.11269,13684,291,0.686,0.074,Winter,1
2022-11-12,9,0.11269,14132,293,0.79,0.074,Winter,1
2022-11-12,10,0.11269,14363,300,0.862,0.074,Winter,1
2022-11-12,11,0.11269,15148,301,0.928,0.074,Winter,1
2022-11-12,12,0.11269,15316,301,0.996,0.074,Winter,1
2022-11-12,13,0.11269,15082,300,1.027,0.074,Winter,1
2022-11-12,14,0.11269,15096,303,1.04,0.074,Winter,1
2022-11-12,15,0.11269,15581,300,1.047,0.074,Winter,1
2022-11-12,16,0.11269,15706,295,1.083,0.074,Winter,1
2022-11-12,17,0.11269,16027,291,1.155,0.074,Winter,1
2022-11-12,18,0.11269,16538,286,1.241,0.074,Winter,1
2022-11-12,19,0.11269,16436,286,1.23,0.074,Winter,1
2022-11-12,20,0.11269,15951,293,1.19,0.074,Winter,1
2022-11-12,21,0.11269,15361,294,1.15,0.074,Winter,1
2022-11-12,22,0.11269,14721,295,1.09,0.074,Winter,1
2022-11-12,23,0.11269,14038,293,1.017,0.074,Winter,1
2022-11-12,24,0.11269,13350,293,0.915,0.074,Winter,1
2022-11-13,1,0.11269,12975,293,0.808,0.074,Winter,1
2022-11-13,2,0.11269,12654,293,0.715,0.074,Winter,1
2022-11-13,3,0.11269,12370,289,0.663,0.074,Winter,1
2022-11-13,4,0.11269,12270,283,0.622,0.074,Winter,1
2022-11-13,5,0.11269,12301,281,0.611,0.074,Winter,1
2022-11-13,6,0.11269,12556,289,0.62,0.074,Winter,1
2022-11-13,7,0.11269,13022,285,0.643,0.074,Winter,1
2022-11-13,8,0.11269,13495,264,0.716,0.074,Winter,1
2022-11-13,9,0.11269,14222,259,0.837,0.074,Winter,1
2022-11-13,10,0.11269,14694,267,0.96,0.074,Winter,1
2022-11-13,11,0.11269,14955,270,1.045,0.074,Winter,1
2022-11-13,12,0.11269,15018,271,1.106,0.074,Winter,1
2022-11-13,13,0.11269,15261,271,1.126,0.074,Winter,1
2022-11-13,14,0.11269,15105,269,1.119,0.074,Winter,1
2022-11-13,15,0.11269,15314,268,1.132,0.074,Winter,1
2022-11-13,16,0.11269,15819,269,1.161,0.074,Winter,1
2022-11-13,17,0.11269,16778,266,1.233,0.074,Winter,1
2022-11-13,18,0.11269,17654,266,1.368,0.074,Winter,1
2022-11-13,19,0.11269,17139,267,1.387,0.074,Winter,1
2022-11-13,20,0.11269,16725,266,1.363,0.074,Winter,1
2022-11-13,21,0.11269,16354,270,1.331,0.074,Winter,1
2022-11-13,22,0.11269,15753,270,1.248,0.074,Winter,1
2022-11-13,23,0.11269,14896,269,1.111,0.074,Winter,1
2022-11-13,24,0.11269,14160,271,0.943,0.074,Winter,1
2022-11-14,1,0.11269,13596,272,0.812,0.074,Winter,0
2022-11-14,2,0.11269,13267,273,0.723,0.074,Winter,0
2022-11-14,3,0.11269,13110,273,0.675,0.074,Winter,0
2022-11-14,4,0.11269,13116,273,0.657,0.074,Winter,0
2022-11-14,5,0.11269,13505,272,0.657,0.074,Winter,0
2022-11-14,6,0.11269,14150,272,0.691,0.074,Winter,0
2022-11-14,7,0.11269,15323,274,0.77,0.151,Winter,0
2022-11-14,8,0.11269,16598,273,0.874,0.151,Winter,0
2022-11-14,9,0.11269,17030,268,0.852,0.151,Winter,0
2022-11-14,10,0.11269,16757,266,0.825,0.151,Winter,0
2022-11-14,11,0.11269,16392,267,0.833,0.102,Winter,0
2022-11-14,12,0.11269,16401,265,0.825,0.102,Winter,0
2022-11-14,13,0.11269,16614,266,0.853,0.102,Winter,0
2022-11-14,14,0.11269,16666,272,0.856,0.102,Winter,0
2022-11-14,15,0.11269,16930,275,0.865,0.102,Winter,0
2022-11-14,16,0.11269,17324,277,0.925,0.102,Winter,0
2022-11-14,17,0.11269,17928,269,1.055,0.151,Winter,0
2022-11-14,18,0.11269,18704,267,1.222,0.151,Winter,0
2022-11-14,19,0.11269,18157,269,1.23,0.074,Winter,0
2022-11-14,20,0.11269,17839,261,1.234,0.074,Winter,0
2022-11-14,21,0.11269,17467,256,1.242,0.074,Winter,0
2022-11-14,22,0.11269,16821,260,1.184,0.074,Winter,0
2022-11-14,23,0.11269,15763,262,1.071,0.074,Winter,0
2022-11-14,24,0.11269,14766,263,0.919,0.074,Winter,0
2022-11-15,1,0.11269,14251,265,0.799,0.074,Winter,0
2022-11-15,2,0.11269,13952,268,0.724,0.074,Winter,0
2022-11-15,3,0.11269,13620,267,0.683,0.074,Winter,0
2022-11-15,4,0.11269,13542,270,0.668,0.074,Winter,0
2022-11-15,5,0.11269,13583,269,0.678,0.074,Winter,0
2022-11-15,6,0.11269,14113,266,0.713,0.074,Winter,0
2022-11-15,7,0.11269,15481,264,0.788,0.151,Winter,0
2022-11-15,8,0.11269,16423,264,0.887,0.151,Winter,0
2022-11-15,9,0.11269,16798,260,0.86,0.151,Winter,0
2022-11-15,10,0.11269,16775,255,0.849,0.151,Winter,0
2022-11-15,11,0.11269,17251,256,0.857,0.102,Winter,0
2022-11-15,12,0.11269,17441,259,0.893,0.102,Winter,0
2022-11-15,13,0.11269,17568,262,0.919,0.102,Winter,0
2022-11-15,14,0.11269,17601,265,0.9,0.102,Winter,0
2022-11-15,15,0.11269,17278,265,0.904,0.102,Winter,0
2022-11-15,16,0.11269,17596,268,0.955,0.102,Winter,0
2022-11-15,17,0.11269,18559,272,1.096,0.151,Winter,0
2022-11-15,18,0.11269,18998,273,1.248,0.151,Winter,0
2022-11-15,19,0.11269,18548,272,1.253,0.074,Winter,0
2022-11-15,20,0.11269,18155,271,1.269,0.074,Winter,0
2022-11-15,21,0.11269,17814,273,1.277,0.074,Winter,0
2022-11-15,22,0.11269,17193,273,1.223,0.074,Winter,0
2022-11-15,23,0.11269,16180,274,1.105,0.074,Winter,0
2022-11-15,24,0.11269,15163,273,0.956,0.074,Winter,0
2022-11-16,1,0.11269,14709,271,0.828,0.074,Winter,0
2022-11-16,2,0.11269,14360,274,0.749,0.074,Winter,0
2022-11-16,3,0.11269,14180,273,0.708,0.074,Winter,0
2022-11-16,4,0.11269,13988,273,0.681,0.074,Winter,0
2022-11-16,5,0.11269,14018,272,0.686,0.074,Winter,0
2022-11-16,6,0.11269,14588,271,0.726,0.074,Winter,0
2022-11-16,7,0.11269,15822,270,0.8,0.151,Winter,0
2022-11-16,8,0.11269,17075,263,0.891,0.151,Winter,0
2022-11-16,9,0.11269,17510,257,0.846,0.151,Winter,0
2022-11-16,10,0.11269,17639,259,0.84,0.151,Winter,0
2022-11-16,11,0.11269,17730,261,0.844,0.102,Winter,0
2022-11-16,12,0.11269,17712,262,0.874,0.102,Winter,0
2022-11-16,13,0.11269,17625,261,0.867,0.102,Winter,0
2022-11-16,14,0.11269,17787,260,0.857,0.102,Winter,0
2022-11-16,15,0.11269,17868,259,0.858,0.102,Winter,0
2022-11-16,16,0.11269,18012,263,0.893,0.102,Winter,0
2022-11-16,17,0.11269,18312,254,1.011,0.151,Winter,0
2022-11-16,18,0.11269,18817,255,1.207,0.151,Winter,0
2022-11-16,19,0.11269,18597,257,1.24,0.074,Winter,0
2022-11-16,20,0.11269,18253,262,1.252,0.074,Winter,0
2022-11-16,21,0.11269,18009,263,1.259,0.074,Winter,0
2022-11-16,22,0.11269,17160,254,1.198,0.074,Winter,0
2022-11-16,23,0.11269,16046,255,1.089,0.074,Winter,0
2022-11-16,24,0.11269,15064,256,0.955,0.074,Winter,0
2022-11-17,1,0.11269,14619,257,0.821,0.074,Winter,0
2022-11-17,2,0.11269,14165,249,0.74,0.074,Winter,0
2022-11-17,3,0.11269,13722,249,0.694,0.074,Winter,0
2022-11-17,4,0.11269,13640,247,0.678,0.074,Winter,0
2022-11-17,5,0.11269,13907,248,0.684,0.074,Winter,0
2022-11-17,6,0.11269,14666,255,0.724,0.074,Winter,0
2022-11-17,7,0.11269,15774,255,0.8,0.151,Winter,0
2022-11-17,8,0.11269,16987,256,0.89,0.151,Winter,0
2022-11-17,9,0.11269,17462,258,0.85,0.151,Winter,0
2022-11-17,10,0.11269,17416,256,0.814,0.151,Winter,0
2022-11-17,11,0.11269,17028,256,0.802,0.102,Winter,0
2022-11-17,12,0.11269,16860,260,0.833,0.102,Winter,0
2022-11-17,13,0.11269,16961,262,0.863,0.102,Winter,0
2022-11-17,14,0.11269,17083,260,0.841,0.102,Winter,0
2022-11-17,15,0.11269,17285,273,0.856,0.102,Winter,0
2022-11-17,16,0.11269,17558,274,0.896,0.102,Winter,0
2022-11-17,17,0.11269,18215,274,1.003,0.151,Winter,0
2022-11-17,18,0.11269,18807,277,1.184,0.151,Winter,0
2022-11-17,19,0.11269,18384,277,1.206,0.074,Winter,0
2022-11-17,20,0.11269,18063,280,1.214,0.074,Winter,0
2022-11-17,21,0.11269,17732,287,1.237,0.074,Winter,0
2022-11-17,22,0.11269,16764,292,1.205,0.074,Winter,0
2022-11-17,23,0.11269,16020,296,1.113,0.074,Winter,0
2022-11-17,24,0.11269,15191,296,0.966,0.074,Winter,0
2022-11-18,1,0.11269,14548,297,0.848,0.074,Winter,0
2022-11-18,2,0.11269,14279,297,0.759,0.074,Winter,0
2022-11-18,3,0.11269,14102,297,0.713,0.074,Winter,0
2022-11-18,4,0.11269,14106,296,0.69,0.074,Winter,0
2022-11-18,5,0.11269,14183,292,0.692,0.074,Winter,0
2022-11-18,6,0.11269,14791,287,0.725,0.074,Winter,0
2022-11-18,7,0.11269,15851,288,0.771,0.151,Winter,0
2022-11-18,8,0.11269,16973,292,0.837,0.151,Winter,0
2022-11-18,9,0.11269,17415,295,0.869,0.151,Winter,0
2022-11-18,10,0.11269,17575,292,0.88,0.151,Winter,0
